symbol,name,country,ipo_date,industry,mkt_cap
TDS,Telephone and Data Systems Inc,US,1981-12-15,Telecommunication,1163.9573230000005
ALGN,Align Technology Inc,US,2001-01-26,Health Care,24755.860265
BHE,Benchmark Electronics Inc,US,1990-06-27,Electrical Equipment,795.317432
CCVI,Churchill Capital VI Corp,US,2021-02-17,,696.210018
PEBK,Peoples Bancorp of North Carolina Inc,US,1985-10-16,Banking,174.691282
SONX,Sonendo Inc,US,2021-10-29,Health Care,99.143759
EHC,Encompass Health Corp,US,1986-09-24,Health Care,6058.441046
GCT,GigaCloud Technology Inc,HK,2022-08-18,Distributors,203.021
NMG,Nouveau Monde Graphite Inc,CA,2012-05-16,Metals & Mining,368.767719
VOR,Vor Biopharma Inc,US,2021-02-05,Biotechnology,341.82497
EWBC,East West Bancorp Inc,US,1999-02-08,Banking,7476.015848
PLAO,Patria Latin American Opportunity Acquisition Corp,KY,2022-03-10,,303.02499899999987
EPIX,ESSA Pharma Inc,CA,2021-02-22,Biotechnology,134.040824
MACA,Moringa Acquisition Corp,US,2021-02-17,,156.571695
LEN.B,Lennar Corp,US,1972-07-27,Consumer products,29011.747077999997
LTRPB,Liberty Tripadvisor Holdings Inc,US,2014-08-27,Media,138.850099
BRKR,Bruker Corp,US,2000-08-04,Life Sciences Tools & Services,11555.028018999998
AGYS,Agilysys Inc,US,1971-01-08,Technology,2041.1401449999998
MSM,MSC Industrial Direct Co Inc,US,1995-12-15,Trading Companies & Distributors,4723.978161
CPTN,Cepton Inc,US,2021-01-29,Electrical Equipment,70.99713199999998
MBAC,M3-Brigade Acquisition II Corp,US,2021-03-04,,498.50001300000014
NTGR,NETGEAR Inc,US,2003-07-31,Communications,533.719167
KCGI,Kensington Capital Acquisition Corp V,US,2021-08-13,,360.17999
AG,First Majestic Silver Corp,CA,1981-05-22,Metals & Mining,2764.131327
FRLA,Fortune Rise Acquisition Corp,US,2021-11-02,,163.70304100000004
FET,Forum Energy Technologies Inc,US,2012-04-12,,244.469975
BIGC,Bigcommerce Holdings Inc,US,2020-08-05,Technology,618.1729239999999
GNW,Genworth Financial Inc,US,2004-05-25,Insurance,2659.136235
TAOP,Taoping Inc,CN,2006-09-08,Technology,10.207289
ADVM,Adverum Biotechnologies Inc,US,2014-07-31,Biotechnology,68.480875
ALVR,Allovir Inc,US,2020-07-30,Biotechnology,347.69408099999987
CNP,CenterPoint Energy Inc,US,1943-08-16,Utilities,19378.600351000005
AMSF,Amerisafe Inc,US,2005-11-18,Insurance,977.3326160000003
NAVI,Navient Corp,US,2014-04-17,Financial Services,2051.4562970000006
GPK,Graphic Packaging Holding Co,US,1992-12-10,Packaging,7696.480448
NVTS,Navitas Semiconductor Corp,US,2020-12-03,Semiconductors,1038.8098869999997
XPON,Expion360 Inc,US,2022-04-01,Electrical Equipment,34.01230000000001
GBX,Greenbrier Companies Inc,US,1994-07-14,Machinery,990.365094
ALLG,Allego NV,NL,2022-03-17,Retail,587.7906930000001
CASI,CASI Pharmaceuticals Inc,US,1996-06-12,Biotechnology,49.289575
VOXX,VOXX International Corp,US,1987-05-29,Consumer products,292.666921
GBRG,Goldenbridge Acquisition Ltd,HK,2021-03-02,,38.432501
XBIT,XBiotech Inc,US,2015-04-15,Biotechnology,109.885782
INAQ,Insight Acquisition Corp,US,2021-09-02,,315.79800799999987
FNCB,FNCB Bancorp Inc,US,1996-05-23,Banking,120.65489
ASTL,Algoma Steel Group Inc,CA,2022-09-19,Metals & Mining,779.8706913816568
AVTX,Avalo Therapeutics Inc,US,2015-11-13,Biotechnology,24.024974
GLG,TD Holdings Inc,CN,2013-08-13,Trading Companies & Distributors,119.86535399999998
QTWO,Q2 Holdings Inc,US,2014-03-20,Technology,1347.632862
AYRO,AYRO Inc,US,2000-01-10,Automobiles,18.683571
LCAA,L Catterton Asia Acquisition Corp,SG,2021-03-11,,366.373021
RKLB,Rocket Lab USA Inc,US,2020-11-16,Aerospace & Defense,1800.737707
GEVO,Gevo Inc,US,2011-02-09,Energy ,302.38744199999996
AMRS,Amyris Inc,US,2010-09-28,Chemicals,476.12708499999997
FRBN,Forbion European Acquisition Corp,KY,2021-12-10,,165.87311699999998
FTI,TechnipFMC PLC,GB,2017-01-17,,5938.853679999999
FUSN,Fusion Pharmaceuticals Inc,CA,2020-06-26,Biotechnology,233.826442
ASPI,ASP Isotopes Inc,US,2022-11-10,Chemicals,23.528600000000008
JPM,JPMorgan Chase & Co,US,1969-03-05,Banking,375189.52519500005
MESA,Mesa Air Group Inc,US,2018-08-10,Airlines,92.123808
B,Barnes Group Inc,US,1981-05-22,Machinery,1969.9464660000006
TXRH,Texas Roadhouse Inc,US,2004-10-05,"Hotels, Restaurants & Leisure",7372.596359
JWEL,Jowell Global Ltd,CN,2021-03-17,Retail,9.446465
FLT,Fleetcor Technologies Inc,US,2010-12-15,Financial Services,15262.733372999995
SBSI,Southside Bancshares Inc,US,1996-05-30,Banking,1016.2030339999997
FLYW,Flywire Corp,US,2021-05-26,Financial Services,2929.6977729999994
VIRI,Virios Therapeutics Inc,US,2020-12-17,Biotechnology,7.625442999999999
ALPP,Alpine 4 Holdings Inc,US,2016-12-13,Electrical Equipment,97.16099799999999
NOVV,Nova Vision Acquisition Corp,SG,2021-08-06,,38.501978
HBIO,Harvard Bioscience Inc,US,2013-10-21,Life Sciences Tools & Services,179.729599
WLDN,Willdan Group Inc,US,2006-11-21,Professional Services,201.47736800000004
HOG,Harley-Davidson Inc,US,1987-07-01,Automobiles,5335.921164999999
GIA,Gigcapital5 Inc,US,2021-09-24,,101.28277299999999
KIND,Nextdoor Holdings Inc,US,2021-03-24,Media,803.458251
WNC,Wabash National Corp,US,1991-11-08,Machinery,1022.9561650000003
RXRX,Recursion Pharmaceuticals Inc,US,2021-04-16,Biotechnology,1271.85701
CGNT,Cognyte Software Ltd,IL,,Technology,234.79695099999998
RAPT,Rapt Therapeutics Inc,US,2019-10-31,Biotechnology,564.0232890000002
KLR,Kaleyra Inc,US,2017-12-08,Technology,21.746814999999998
NOTE,Fiscalnote Holdings Inc,US,2020-10-29,Professional Services,283.572816
LUCD,Lucid Diagnostics Inc,US,2021-10-14,Health Care,55.54395399999999
NEWT,NewtekOne Inc,US,1980-03-17,Financial Services,302.057278
HSDT,Helius Medical Technologies Inc,US,2014-06-27,Health Care,6.460401999999999
BCEL,Atreca Inc,US,2019-06-20,Biotechnology,39.458062
BANC,Banc of California Inc,US,2002-08-23,Banking,727.211727
ESTE,Earthstone Energy Inc,US,1993-10-27,Energy ,1945.1380100000001
TIOA,Tio Tech A,DE,2021-04-08,,440.306252
OGS,ONE Gas Inc,US,2014-01-16,Utilities,4552.422980999999
CAKE,Cheesecake Factory Inc,US,1992-09-18,"Hotels, Restaurants & Leisure",1732.4446059999998
FTV,Fortive Corp,US,2016-06-13,Machinery,22731.874437000002
MNPR,Monopar Therapeutics Inc,US,2019-12-19,Biotechnology,16.623396
HSTO,Histogen Inc,US,2013-07-25,Biotechnology,4.827087000000001
SAVE,Spirit Airlines Inc,US,2011-05-26,Airlines,1900.953122
MNDY,Monday.Com Ltd,IL,2021-06-10,Technology,6390.667814000001
GHRS,GH Research PLC,IE,2021-06-25,Pharmaceuticals,444.778255
TMUS,T-Mobile US Inc,US,2007-04-19,Telecommunication,182431.91811099998
OC,Owens Corning,US,2006-10-23,Building,8488.00888
BLDP,Ballard Power Systems Inc,CA,1993-06-15,Electrical Equipment,1981.3374190000002
TWIN,Twin Disc Inc,US,1980-03-17,Machinery,124.341365
RGEN,Repligen Corp,US,1986-04-29,Life Sciences Tools & Services,9020.029671
INBK,First Internet Bancorp,US,2013-02-22,Banking,144.71216799999996
CGC,Canopy Growth Corp,CA,2010-06-04,Pharmaceuticals,1064.0223050000002
HWM,Howmet Aerospace Inc,US,1951-06-11,Aerospace & Defense,17130.351559
QRVO,Qorvo Inc,US,1997-06-03,Semiconductors,9462.505536
SPFI,South Plains Financial Inc,US,2019-05-09,Banking,359.71031800000003
BMRN,Biomarin Pharmaceutical Inc,US,1999-07-23,Biotechnology,18578.266012
COOP,Mr Cooper Group Inc,US,2006-09-13,Financial Services,2871.786911000001
KARO,Karooooo Ltd,SG,2021-04-01,Technology,714.97054
MCK,Mckesson Corp,US,1994-11-10,Health Care,50679.842646
NVAX,Novavax Inc,US,1973-05-16,Biotechnology,729.025619
FRZA,Forza X1 Inc,US,2022-08-12,Leisure Products,11.5995
MOXC,Moxian (BVI) Inc,HK,2013-10-28,Media,35.021356
GEF.B,Greif Inc,US,2002-10-07,Packaging,3194.582019
HHGC,HHG Capital Corp,SG,2021-09-21,,53.22326199999999
CPRT,Copart Inc,US,1994-03-17,Commercial Services & Supplies,35448.95102
VEEV,Veeva Systems Inc,US,2013-10-16,Health Care,28768.355118
MODN,Model N Inc,US,2013-03-20,Technology,1290.903766
WWAC,Worldwide Webb Acquisition Corp,US,2021-10-20,,295.26251300000007
MFH,Mercurity Fintech Holding Inc,CN,2015-04-08,Technology,15.173963
HVT.A,Haverty Furniture Companies Inc,US,1980-03-17,Retail,507.65063899999996
JUGG,Jaws Juggernaut Acquisition Corp,US,2021-06-18,,352.934988
ZEV,Lightning eMotors Inc,US,2020-05-18,Machinery,33.699891
SLQT,SelectQuote Inc,US,2020-05-21,Insurance,319.702493
NGVC,Natural Grocers By Vitamin Cottage Inc,US,2012-07-25,Retail,248.838645
OTTR,Otter Tail Corp,US,1980-03-17,Utilities,2931.292618
ULTA,Ulta Beauty Inc,US,2007-10-25,Retail,26149.133398000005
APAM,Artisan Partners Asset Management Inc,US,2013-03-07,Financial Services,2542.330533
XRAY,DENTSPLY SIRONA Inc,US,1987-08-12,Health Care,8515.410038
MOVE,Movano Inc,US,2021-03-23,Technology,50.811434000000006
VIRC,Virco Mfg Corp,US,1980-03-18,Commercial Services & Supplies,65.33027399999999
MX,MagnaChip Semiconductor Corp,LU,2011-03-10,Semiconductors,395.31573700000007
NYXH,Nyxoah SA,BE,2020-09-18,Health Care,192.351493
VRM,Vroom Inc,US,2020-06-09,Retail,124.392537
TEAM,Atlassian Corp,US,2015-12-10,Technology,40801.141082
MGAM,Mobile Global Esports Inc,US,2022-07-29,Media,15.8267
MOND,Mondee Holdings Inc,US,2021-02-01,"Hotels, Restaurants & Leisure",987.193909
BBAI,BigBear.ai Holdings Inc,US,2021-02-09,Technology,355.108009
BMRC,Bank of Marin Bancorp,US,1973-07-05,Banking,341.999892
HLVX,Hillevax Inc,US,2022-04-29,Biotechnology,507.53003499999994
GNK,Genco Shipping & Trading Ltd,US,2005-07-22,Marine,625.172453
FGBI,First Guaranty Bancshares Inc,US,2015-11-05,Banking,153.25018400000002
TVTX,Travere Therapeutics Inc,US,2003-07-23,Biotechnology,1528.3083919999995
VBOC,Viscogliosi Brothers Acquisition Corp,US,2022-01-07,,111.69374599999999
COHU,Cohu Inc,US,1964-01-16,Semiconductors,1686.0851440000001
G,Genpact Ltd,BM,2007-08-02,Professional Services,8301.380311
WWW,Wolverine World Wide Inc,US,1981-05-22,"Textiles, Apparel & Luxury Goods",1258.201573
RLAY,Relay Therapeutics Inc,US,2020-07-16,Biotechnology,2181.283332
PRLB,Proto Labs Inc,US,2012-02-24,Machinery,831.86636
CXDO,Crexendo Inc,US,2004-08-16,Technology,38.981589
FTFT,Future Fintech Group Inc,US,2009-03-12,Financial Services,18.132309
DCI,Donaldson Company Inc,US,1980-05-17,Machinery,7395.418858
SNDA,Sonida Senior Living Inc,US,1997-10-31,Health Care,49.086545
RNAZ,Transcode Therapeutics Inc,US,2021-04-28,Biotechnology,5.8547080000000005
W,Wayfair Inc,US,2014-10-02,Retail,3721.7620490000004
HPLT,Home Plate Acquisition Corp,US,2021-09-30,,250.0
ECBK,ECB Bancorp Inc,US,2022-07-28,Banking,120.56300000000002
FLWS,1-800-Flowers.Com Inc,US,1999-08-03,Retail,735.106483
KOP,Koppers Holdings Inc,US,2006-02-01,Chemicals,693.0264179999999
TIVC,Tivic Health Systems Inc,US,2021-11-11,Health Care,4.039139
BKCC,BlackRock Capital Investment Corp,US,2007-06-27,Financial Services,246.74449100000004
ASTI,Ascent Solar Technologies Inc,US,2006-07-11,Semiconductors,13.294410999999998
